"Statistic","Month","State","UNIT","VALUE"
"Seasonally Adjusted Standardised Unemployment Rate","1990M01","State","%","13.6"
"Seasonally Adjusted Standardised Unemployment Rate","1990M02","State","%","13.4"
"Seasonally Adjusted Standardised Unemployment Rate","1990M03","State","%","13"
"Seasonally Adjusted Standardised Unemployment Rate","1990M04","State","%","12.9"
"Seasonally Adjusted Standardised Unemployment Rate","1990M05","State","%","12.9"
"Seasonally Adjusted Standardised Unemployment Rate","1990M06","State","%","13.1"
"Seasonally Adjusted Standardised Unemployment Rate","1990M07","State","%","13.1"
"Seasonally Adjusted Standardised Unemployment Rate","1990M08","State","%","13.1"
"Seasonally Adjusted Standardised Unemployment Rate","1990M09","State","%","13.2"
"Seasonally Adjusted Standardised Unemployment Rate","1990M10","State","%","13.2"
"Seasonally Adjusted Standardised Unemployment Rate","1990M11","State","%","13.4"
"Seasonally Adjusted Standardised Unemployment Rate","1990M12","State","%","13.5"
"Seasonally Adjusted Standardised Unemployment Rate","1991M01","State","%","13.7"
"Seasonally Adjusted Standardised Unemployment Rate","1991M02","State","%","14"
"Seasonally Adjusted Standardised Unemployment Rate","1991M03","State","%","14.3"
"Seasonally Adjusted Standardised Unemployment Rate","1991M04","State","%","14.7"
"Seasonally Adjusted Standardised Unemployment Rate","1991M05","State","%","14.6"
"Seasonally Adjusted Standardised Unemployment Rate","1991M06","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","1991M07","State","%","14.9"
"Seasonally Adjusted Standardised Unemployment Rate","1991M08","State","%","14.9"
"Seasonally Adjusted Standardised Unemployment Rate","1991M09","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","1991M10","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","1991M11","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","1991M12","State","%","14.7"
"Seasonally Adjusted Standardised Unemployment Rate","1992M01","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","1992M02","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","1992M03","State","%","14.9"
"Seasonally Adjusted Standardised Unemployment Rate","1992M04","State","%","15.1"
"Seasonally Adjusted Standardised Unemployment Rate","1992M05","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","1992M06","State","%","15.1"
"Seasonally Adjusted Standardised Unemployment Rate","1992M07","State","%","15.4"
"Seasonally Adjusted Standardised Unemployment Rate","1992M08","State","%","15.4"
"Seasonally Adjusted Standardised Unemployment Rate","1992M09","State","%","15.4"
"Seasonally Adjusted Standardised Unemployment Rate","1992M10","State","%","15.3"
"Seasonally Adjusted Standardised Unemployment Rate","1992M11","State","%","15.5"
"Seasonally Adjusted Standardised Unemployment Rate","1992M12","State","%","15.5"
"Seasonally Adjusted Standardised Unemployment Rate","1993M01","State","%","15.7"
"Seasonally Adjusted Standardised Unemployment Rate","1993M02","State","%","15.6"
"Seasonally Adjusted Standardised Unemployment Rate","1993M03","State","%","15.7"
"Seasonally Adjusted Standardised Unemployment Rate","1993M04","State","%","15.7"
"Seasonally Adjusted Standardised Unemployment Rate","1993M05","State","%","15.7"
"Seasonally Adjusted Standardised Unemployment Rate","1993M06","State","%","15.6"
"Seasonally Adjusted Standardised Unemployment Rate","1993M07","State","%","15.5"
"Seasonally Adjusted Standardised Unemployment Rate","1993M08","State","%","15.4"
"Seasonally Adjusted Standardised Unemployment Rate","1993M09","State","%","15.3"
"Seasonally Adjusted Standardised Unemployment Rate","1993M10","State","%","15.2"
"Seasonally Adjusted Standardised Unemployment Rate","1993M11","State","%","15.3"
"Seasonally Adjusted Standardised Unemployment Rate","1993M12","State","%","15.3"
"Seasonally Adjusted Standardised Unemployment Rate","1994M01","State","%","15.1"
"Seasonally Adjusted Standardised Unemployment Rate","1994M02","State","%","15"
"Seasonally Adjusted Standardised Unemployment Rate","1994M03","State","%","15"
"Seasonally Adjusted Standardised Unemployment Rate","1994M04","State","%","14.7"
"Seasonally Adjusted Standardised Unemployment Rate","1994M05","State","%","14.5"
"Seasonally Adjusted Standardised Unemployment Rate","1994M06","State","%","14.1"
"Seasonally Adjusted Standardised Unemployment Rate","1994M07","State","%","13.9"
"Seasonally Adjusted Standardised Unemployment Rate","1994M08","State","%","13.6"
"Seasonally Adjusted Standardised Unemployment Rate","1994M09","State","%","13.4"
"Seasonally Adjusted Standardised Unemployment Rate","1994M10","State","%","13.2"
"Seasonally Adjusted Standardised Unemployment Rate","1994M11","State","%","13.1"
"Seasonally Adjusted Standardised Unemployment Rate","1994M12","State","%","12.8"
"Seasonally Adjusted Standardised Unemployment Rate","1995M01","State","%","12.6"
"Seasonally Adjusted Standardised Unemployment Rate","1995M02","State","%","12.5"
"Seasonally Adjusted Standardised Unemployment Rate","1995M03","State","%","12.3"
"Seasonally Adjusted Standardised Unemployment Rate","1995M04","State","%","12.2"
"Seasonally Adjusted Standardised Unemployment Rate","1995M05","State","%","12.1"
"Seasonally Adjusted Standardised Unemployment Rate","1995M06","State","%","12.1"
"Seasonally Adjusted Standardised Unemployment Rate","1995M07","State","%","11.9"
"Seasonally Adjusted Standardised Unemployment Rate","1995M08","State","%","11.9"
"Seasonally Adjusted Standardised Unemployment Rate","1995M09","State","%","11.9"
"Seasonally Adjusted Standardised Unemployment Rate","1995M10","State","%","12"
"Seasonally Adjusted Standardised Unemployment Rate","1995M11","State","%","12"
"Seasonally Adjusted Standardised Unemployment Rate","1995M12","State","%","12"
"Seasonally Adjusted Standardised Unemployment Rate","1996M01","State","%","12"
"Seasonally Adjusted Standardised Unemployment Rate","1996M02","State","%","12"
"Seasonally Adjusted Standardised Unemployment Rate","1996M03","State","%","11.8"
"Seasonally Adjusted Standardised Unemployment Rate","1996M04","State","%","11.9"
"Seasonally Adjusted Standardised Unemployment Rate","1996M05","State","%","11.8"
"Seasonally Adjusted Standardised Unemployment Rate","1996M06","State","%","11.6"
"Seasonally Adjusted Standardised Unemployment Rate","1996M07","State","%","11.5"
"Seasonally Adjusted Standardised Unemployment Rate","1996M08","State","%","11.4"
