"Statistic","Month","State","UNIT","VALUE"
"Seasonally Adjusted Standardised Unemployment Rate","2013M07","State","%","13"
"Seasonally Adjusted Standardised Unemployment Rate","2013M08","State","%","12.7"
"Seasonally Adjusted Standardised Unemployment Rate","2013M09","State","%","12.6"
"Seasonally Adjusted Standardised Unemployment Rate","2013M10","State","%","12.4"
"Seasonally Adjusted Standardised Unemployment Rate","2013M11","State","%","12.2"
"Seasonally Adjusted Standardised Unemployment Rate","2013M12","State","%","12.2"
"Seasonally Adjusted Standardised Unemployment Rate","2014M01","State","%","12.1"
"Seasonally Adjusted Standardised Unemployment Rate","2014M02","State","%","12.1"
"Seasonally Adjusted Standardised Unemployment Rate","2014M03","State","%","11.9"
"Seasonally Adjusted Standardised Unemployment Rate","2014M04","State","%","11.6"
"Seasonally Adjusted Standardised Unemployment Rate","2014M05","State","%","11.5"
"Seasonally Adjusted Standardised Unemployment Rate","2014M06","State","%","11.3"
"Seasonally Adjusted Standardised Unemployment Rate","2014M07","State","%","11.2"
"Seasonally Adjusted Standardised Unemployment Rate","2014M08","State","%","11.1"
"Seasonally Adjusted Standardised Unemployment Rate","2014M09","State","%","10.9"
"Seasonally Adjusted Standardised Unemployment Rate","2014M10","State","%","10.6"
"Seasonally Adjusted Standardised Unemployment Rate","2014M11","State","%","10.4"
"Seasonally Adjusted Standardised Unemployment Rate","2014M12","State","%","10.3"
"Seasonally Adjusted Standardised Unemployment Rate","2015M01","State","%","10.1"
"Seasonally Adjusted Standardised Unemployment Rate","2015M02","State","%","9.9"
"Seasonally Adjusted Standardised Unemployment Rate","2015M03","State","%","9.8"
"Seasonally Adjusted Standardised Unemployment Rate","2015M04","State","%","9.8"
